keys,en,ru
UI_SUBTITLE,a remake of Elevator Action,ремейк Elevator Action
UI_PLAY,Play,Играть
UI_RECORDS,High scores,Рекорды
UI_SETTINGS,Settings,Настройки
UI_CONTROLS,Controls,Управление
UI_QUIT,Quit,Выход
UI_BACK,Back,Назад
UI_RESUME,Resume,Продолжить
UI_RESTART,Start over,Начать заново
UI_TO_MENU,Main menu,В меню
UI_PAUSED,Paused,Пауза
UI_GAME_OVER,Game over,Игра окончена
UI_YOUR_SCORE,Your score,Ваш счёт
UI_NEW_RECORD,New record!,Новый рекорд!
UI_NO_RECORDS,No records yet,Рекордов пока нет
UI_SCORE,Score,Очки
UI_ROUND,Round,Раунд
UI_BONUS,Bonus,Бонус
UI_FLOOR,Floor,Этаж
UI_ROOF,Roof,Крыша
UI_PARKING,Parking,Паркинг
UI_ALARM,ALARM,ТРЕВОГА
UI_VOLUME_MASTER,Master volume,Общая громкость
UI_VOLUME_MUSIC,Music,Музыка
UI_VOLUME_SFX,Effects,Эффекты
UI_LANGUAGE,Language,Язык
UI_WINDOW_MODE,Display,Экран
UI_WINDOW_MODE_0,Window,Окно
UI_WINDOW_MODE_1,Borderless,Без рамки
UI_WINDOW_MODE_2,Fullscreen,Полный экран
UI_RESOLUTION,Resolution,Разрешение
UI_RENDER_SCALE,Render scale,Масштаб рендера
UI_FRAME_LIMIT,Frame limit,Предел кадров
UI_FRAME_LIMIT_MONITOR,Monitor,По монитору
UI_FRAME_LIMIT_NONE,Unlimited,Без предела
UI_VSYNC,VSync,Вертикальная синхронизация
UI_BLOOD,Blood,Кровь
UI_SHOW_FPS,Show FPS,Показывать FPS
UI_DIFFICULTY,Difficulty,Сложность
UI_DIFFICULTY_0,Easy,Лёгкая
UI_DIFFICULTY_1,Normal,Обычная
UI_DIFFICULTY_2,Hard,Трудная
UI_DIFFICULTY_3,Hardest,Очень трудная
UI_QUALITY,Graphics,Графика
UI_QUALITY_0,Low,Низкая
UI_QUALITY_1,Medium,Средняя
UI_QUALITY_2,High,Высокая
UI_QUALITY_3,Ultra,Ультра
UI_LANGUAGE_RU,Русский,Русский
UI_LANGUAGE_EN,English,English
UI_MOVE_LEFT,Left,Влево
UI_MOVE_RIGHT,Right,Вправо
UI_MOVE_UP,Up,Вверх
UI_MOVE_DOWN,"Down, crouch","Вниз, присесть"
UI_JUMP,Jump,Прыжок
UI_SHOOT,Shoot,Выстрел
UI_PAUSE,Pause,Пауза
UI_RESET_KEYS,Reset to defaults,Сбросить по умолчанию
UI_PRESS_KEY,Press a key or button,Нажмите клавишу или кнопку
UI_GAMEPAD,Gamepad,Геймпад
UI_DPAD_LEFT,D-pad left,Крестовина влево
UI_DPAD_RIGHT,D-pad right,Крестовина вправо
UI_DPAD_UP,D-pad up,Крестовина вверх
UI_DPAD_DOWN,D-pad down,Крестовина вниз
UI_ON,On,Вкл
UI_OFF,Off,Выкл
UI_HINT,"Enter — choose   Esc — back","Enter — выбрать   Esc — назад"
UI_HINT_ROOT,Enter — choose,Enter — выбрать
